"ID";"Woonplaatsen";"Woonplaatscode_1";"Naam_2";"Code_3";"Naam_4";"Code_5";"Naam_6";"Code_7"
"14";"WP2400";"WP2400    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"15";"WP3147";"WP3147    ";"Medemblik                          ";"GM0420    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"16";"WP1385";"WP1385    ";"Nissewaard                         ";"GM1930    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"17";"WP1608";"WP1608    ";"Haarlemmermeer                     ";"GM0394    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"18";"WP1332";"WP1332    ";"De Ronde Venen                     ";"GM0736    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"19";"WP1364";"WP1364    ";"Waadhoeke                          ";"GM1949    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"20";"WP1063";"WP1063    ";"Barneveld                          ";"GM0203    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"21";"WP2640";"WP2640    ";"Leusden                            ";"GM0327    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"22";"WP2131";"WP2131    ";"Goeree-Overflakkee                 ";"GM1924    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"23";"WP3493";"WP3493    ";"Zundert                            ";"GM0879    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"24";"WP3527";"WP3527    ";"Geldermalsen                       ";"GM0236    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"25";"WP2464";"WP2464    ";"Winsum                             ";"GM0053    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"26";"WP2114";"WP2114    ";"Zuidhorn                           ";"GM0056    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"27";"WP2652";"WP2652    ";"Bloemendaal                        ";"GM0377    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"28";"WP2976";"WP2976    ";"Zevenaar                           ";"GM0299    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"29";"WP2902";"WP2902    ";"Druten                             ";"GM0225    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"30";"WP1122";"WP1122    ";"Bergen (L.)                        ";"GM0893    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"31";"WP1407";"WP1407    ";"Dinkelland                         ";"GM1774    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"32";"WP2267";"WP2267    ";"Castricum                          ";"GM0383    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"33";"WP2525";"WP2525    ";"Heerenveen                         ";"GM0074    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"34";"WP2484";"WP2484    ";"De Fryske Marren                   ";"GM1940    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"35";"WP1283";"WP1283    ";"Tubbergen                          ";"GM0183    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"36";"WP2386";"WP2386    ";"Alblasserdam                       ";"GM0482    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"37";"WP3224";"WP3224    ";"Leeuwarden                         ";"GM0080    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"38";"WP2532";"WP2532    ";"Heerenveen                         ";"GM0074    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"39";"WP2441";"WP2441    ";"Tytsjerksteradiel                  ";"GM0737    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"40";"WP1623";"WP1623    ";"Maasdriel                          ";"GM0263    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"41";"WP2348";"WP2348    ";"Alkmaar                            ";"GM0361    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"42";"WP2301";"WP2301    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"43";"WP1924";"WP1924    ";"Almelo                             ";"GM0141    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"44";"WP1334";"WP1334    ";"Lochem                             ";"GM0262    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"45";"WP1270";"WP1270    ";"Almere                             ";"GM0034    ";"Flevoland                ";"PV24      ";"Oost-Nederland           ";"LD02      "
"46";"WP3300";"WP3300    ";"Woudrichem                         ";"GM0874    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"47";"WP1766";"WP1766    ";"West Maas en Waal                  ";"GM0668    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"48";"WP3432";"WP3432    ";"Alphen-Chaam                       ";"GM1723    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"49";"WP1080";"WP1080    ";"Alphen aan den Rijn                ";"GM0484    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"50";"WP1633";"WP1633    ";"Noordenveld                        ";"GM1699    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"51";"WP3079";"WP3079    ";"Stadskanaal                        ";"GM0037    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"52";"WP3160";"WP3160    ";"De Wolden                          ";"GM1690    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"53";"WP1810";"WP1810    ";"Hoogeveen                          ";"GM0118    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"54";"WP1767";"WP1767    ";"West Maas en Waal                  ";"GM0668    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"55";"WP1438";"WP1438    ";"Hof van Twente                     ";"GM1735    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"56";"WP2106";"WP2106    ";"Zederik                            ";"GM0707    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"57";"WP1147";"WP1147    ";"Aa en Hunze                        ";"GM1680    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"58";"WP1026";"WP1026    ";"Horst aan de Maas                  ";"GM1507    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"59";"WP3337";"WP3337    ";"Utrechtse Heuvelrug                ";"GM1581    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"60";"WP1664";"WP1664    ";"Amersfoort                         ";"GM0307    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"61";"WP2367";"WP2367    ";"Krimpenerwaard                     ";"GM1931    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"62";"WP1624";"WP1624    ";"Maasdriel                          ";"GM0263    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"63";"WP3547";"WP3547    ";"De Ronde Venen                     ";"GM0736    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"64";"WP1050";"WP1050    ";"Amstelveen                         ";"GM0362    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"65";"WP2099";"WP2099    ";"Schinnen                           ";"GM0962    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"66";"WP3594";"WP3594    ";"Amsterdam                          ";"GM0363    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"67";"WP3569";"WP3569    ";"Ouder-Amstel                       ";"GM0437    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"68";"WP3301";"WP3301    ";"Woudrichem                         ";"GM0874    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"69";"WP2466";"WP2466    ";"Winsum                             ";"GM0053    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"70";"WP1862";"WP1862    ";"Overbetuwe                         ";"GM1734    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"71";"WP1148";"WP1148    ";"Aa en Hunze                        ";"GM1680    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"72";"WP1053";"WP1053    ";"Medemblik                          ";"GM0420    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"73";"WP1537";"WP1537    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"74";"WP1538";"WP1538    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"75";"WP1539";"WP1539    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"76";"WP3133";"WP3133    ";"Lingewaard                         ";"GM1705    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"77";"WP1299";"WP1299    ";"Zevenaar                           ";"GM0299    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"78";"WP3388";"WP3388    ";"Dongeradeel                        ";"GM0058    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"79";"WP2999";"WP2999    ";"Wijdemeren                         ";"GM1696    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"80";"WP1149";"WP1149    ";"Aa en Hunze                        ";"GM1680    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"81";"WP3185";"WP3185    ";"Hollands Kroon                     ";"GM1911    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"82";"WP1150";"WP1150    ";"Aa en Hunze                        ";"GM1680    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"83";"WP1151";"WP1151    ";"Aa en Hunze                        ";"GM1680    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"84";"WP3104";"WP3104    ";"Westerveld                         ";"GM1701    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"85";"WP3161";"WP3161    ";"De Wolden                          ";"GM1690    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"86";"WP2296";"WP2296    ";"Westerwolde                        ";"GM1950    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"87";"WP3560";"WP3560    ";"Apeldoorn                          ";"GM0200    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"88";"WP2297";"WP2297    ";"Westerwolde                        ";"GM1950    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"89";"WP1753";"WP1753    ";"Ooststellingwerf                   ";"GM0085    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"90";"WP1768";"WP1768    ";"West Maas en Waal                  ";"GM0668    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"91";"WP3386";"WP3386    ";"Appingedam                         ";"GM0003    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"92";"WP3140";"WP3140    ";"Venlo                              ";"GM0983    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"93";"WP1432";"WP1432    ";"Giessenlanden                      ";"GM0689    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"94";"WP1008";"WP1008    ";"Middelburg                         ";"GM0687    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"95";"WP1296";"WP1296    ";"Arnhem                             ";"GM0202    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"96";"WP3630";"WP3630    ";"Ommen                              ";"GM0175    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"97";"WP2302";"WP2302    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"98";"WP3370";"WP3370    ";"Buren                              ";"GM0214    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"99";"WP2353";"WP2353    ";"Lingewaal                          ";"GM0733    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"100";"WP2391";"WP2391    ";"Assen                              ";"GM0106    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"101";"WP1878";"WP1878    ";"Zaanstad                           ";"GM0479    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"102";"WP2928";"WP2928    ";"Asten                              ";"GM0743    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"103";"WP3307";"WP3307    ";"Kollumerland en Nieuwkruisland     ";"GM0079    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"104";"WP3173";"WP3173    ";"Achtkarspelen                      ";"GM0059    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"105";"WP2824";"WP2824    ";"Zeist                              ";"GM0355    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"106";"WP1183";"WP1183    ";"Koggenland                         ";"GM1598    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"107";"WP1128";"WP1128    ";"Terneuzen                          ";"GM0715    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"108";"WP2202";"WP2202    ";"Montferland                        ";"GM1955    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"109";"WP2621";"WP2621    ";"Terschelling                       ";"GM0093    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"110";"WP2008";"WP2008    ";"Waadhoeke                          ";"GM1949    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"111";"WP1527";"WP1527    ";"Bronckhorst                        ";"GM1876    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"112";"WP1333";"WP1333    ";"De Ronde Venen                     ";"GM0736    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"113";"WP2009";"WP2009    ";"Leeuwarden                         ";"GM0080    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"114";"WP1251";"WP1251    ";"Borsele                            ";"GM0654    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"115";"WP2883";"WP2883    ";"Baarle-Nassau                      ";"GM0744    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"116";"WP2602";"WP2602    ";"Peel en Maas                       ";"GM1894    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"117";"WP2691";"WP2691    ";"Steenwijkerland                    ";"GM1708    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"118";"WP1092";"WP1092    ";"Baarn                              ";"GM0308    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"119";"WP2692";"WP2692    ";"Steenwijkerland                    ";"GM1708    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"120";"WP1298";"WP1298    ";"Zevenaar                           ";"GM0299    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"121";"WP1951";"WP1951    ";"Aalburg                            ";"GM0738    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"122";"WP1420";"WP1420    ";"Oldambt                            ";"GM1895    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"123";"WP1617";"WP1617    ";"Haarlemmermeer                     ";"GM0394    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"124";"WP2940";"WP2940    ";"Leudal                             ";"GM1640    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"125";"WP2465";"WP2465    ";"Winsum                             ";"GM0053    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"126";"WP2090";"WP2090    ";"Gemert-Bakel                       ";"GM1652    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"127";"WP1673";"WP1673    ";"De Fryske Marren                   ";"GM1940    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"128";"WP3342";"WP3342    ";"Opsterland                         ";"GM0086    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"129";"WP2570";"WP2570    ";"Wijchen                            ";"GM0296    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"130";"WP3005";"WP3005    ";"Midden-Drenthe                     ";"GM1731    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"131";"WP1674";"WP1674    ";"De Fryske Marren                   ";"GM1940    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"132";"WP1540";"WP1540    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"133";"WP1153";"WP1153    ";"Aa en Hunze                        ";"GM1680    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"134";"WP1152";"WP1152    ";"Aa en Hunze                        ";"GM1680    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"135";"WP2587";"WP2587    ";"Ameland                            ";"GM0060    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"136";"WP3067";"WP3067    ";"Simpelveld                         ";"GM0965    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"137";"WP1690";"WP1690    ";"Eijsden-Margraten                  ";"GM1903    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"138";"WP1272";"WP1272    ";"Noordoostpolder                    ";"GM0171    ";"Flevoland                ";"PV24      ";"Oost-Nederland           ";"LD02      "
"139";"WP2239";"WP2239    ";"De Fryske Marren                   ";"GM1940    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"140";"WP1335";"WP1335    ";"Lochem                             ";"GM0262    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"141";"WP1594";"WP1594    ";"Barendrecht                        ";"GM0489    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"142";"WP1987";"WP1987    ";"Emmen                              ";"GM0114    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"143";"WP3597";"WP3597    ";"Barneveld                          ";"GM0203    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"144";"WP2514";"WP2514    ";"Hollands Kroon                     ";"GM1911    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"145";"WP2693";"WP2693    ";"Steenwijkerland                    ";"GM1708    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"146";"WP2568";"WP2568    ";"Wijchen                            ";"GM0296    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"147";"WP2854";"WP2854    ";"Deventer                           ";"GM0150    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"148";"WP3624";"WP3624    ";"Breda                              ";"GM0758    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"149";"WP3437";"WP3437    ";"Alphen-Chaam                       ";"GM1723    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"150";"WP2010";"WP2010    ";"Leeuwarden                         ";"GM0080    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"151";"WP2829";"WP2829    ";"Bedum                              ";"GM0005    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"152";"WP1918";"WP1918    ";"Maasgouw                           ";"GM1641    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"153";"WP1670";"WP1670    ";"Beek                               ";"GM0888    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"154";"WP2203";"WP2203    ";"Montferland                        ";"GM1955    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"155";"WP2872";"WP2872    ";"Berg en Dal                        ";"GM1945    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"156";"WP1446";"WP1446    ";"Laarbeek                           ";"GM1659    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"157";"WP2258";"WP2258    ";"Apeldoorn                          ";"GM0200    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"158";"WP2254";"WP2254    ";"Apeldoorn                          ";"GM0200    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"159";"WP1449";"WP1449    ";"Cuijk                              ";"GM1684    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"160";"WP3508";"WP3508    ";"Oldambt                            ";"GM1895    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"161";"WP2548";"WP2548    ";"Ommen                              ";"GM0175    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"162";"WP2549";"WP2549    ";"Ommen                              ";"GM0175    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"163";"WP3213";"WP3213    ";"Geldermalsen                       ";"GM0236    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"164";"WP1950";"WP1950    ";"Beesel                             ";"GM0889    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"165";"WP1837";"WP1837    ";"Edam-Volendam                      ";"GM0385    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"166";"WP3343";"WP3343    ";"Opsterland                         ";"GM0086    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"167";"WP3006";"WP3006    ";"Midden-Drenthe                     ";"GM1731    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"168";"WP1610";"WP1610    ";"Haarlemmermeer                     ";"GM0394    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"169";"WP1476";"WP1476    ";"Venlo                              ";"GM0983    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"170";"WP2231";"WP2231    ";"Westerwolde                        ";"GM1950    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"171";"WP1661";"WP1661    ";"Berkelland                         ";"GM1859    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"172";"WP2694";"WP2694    ";"Steenwijkerland                    ";"GM1708    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"173";"WP1691";"WP1691    ";"Eijsden-Margraten                  ";"GM1903    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"174";"WP3131";"WP3131    ";"Lingewaard                         ";"GM1705    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"175";"WP1769";"WP1769    ";"West Maas en Waal                  ";"GM0668    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"176";"WP3533";"WP3533    ";"Bloemendaal                        ";"GM0377    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"177";"WP2766";"WP2766    ";"Ede                                ";"GM0228    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"178";"WP2146";"WP2146    ";"Coevorden                          ";"GM0109    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"179";"WP3148";"WP3148    ";"Medemblik                          ";"GM0420    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"180";"WP1958";"WP1958    ";"Lopik                              ";"GM0331    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"181";"WP1439";"WP1439    ";"Hof van Twente                     ";"GM1735    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"182";"WP2853";"WP2853    ";"Alphen aan den Rijn                ";"GM0484    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"183";"WP1306";"WP1306    ";"Zandvoort                          ";"GM0473    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"184";"WP3618";"WP3618    ";"Berg en Dal                        ";"GM1945    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"185";"WP1716";"WP1716    ";"Valkenburg aan de Geul             ";"GM0994    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"186";"WP2365";"WP2365    ";"Krimpenerwaard                     ";"GM1931    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"187";"WP1457";"WP1457    ";"Bergeijk                           ";"GM1724    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"188";"WP3047";"WP3047    ";"Bergen (NH.)                       ";"GM0373    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"189";"WP3046";"WP3046    ";"Bergen (NH.)                       ";"GM0373    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"190";"WP1121";"WP1121    ";"Bergen (L.)                        ";"GM0893    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"191";"WP1937";"WP1937    ";"Bergen op Zoom                     ";"GM0748    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"192";"WP1541";"WP1541    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
